SUBSTÂNCIA,CNPJ,LABORATÓRIO,CÓDIGO GGREM,REGISTRO,EAN 1,EAN 2,EAN 3,PRODUTO,APRESENTAÇÃO,CLASSE TERAPÊUTICA,TIPO DE PRODUTO (STATUS DO PRODUTO),REGIME DE PREÇO,PF Sem Impostos,PF 0%,PF 12%,PF 12% ALC,PF 17%,PF 17% ALC,"PF 17,5%","PF 17,5% ALC",PF 18%,PF 18% ALC,PF 19%,PF 19% ALC,"PF 19,5%","PF 19,5% ALC",PF 20%,PF 20% ALC,"PF 20,5%",PF 21%,PF 21% ALC,PF 22%,PF 22% ALC,PMC Sem Imposto,PMC 0%,PMC 12%,PMC 12% ALC,PMC 17%,PMC 17% ALC,"PMC 17,5%","PMC 17,5% ALC",PMC 18%,PMC 18% ALC,PMC 19%,PMC 19% ALC,"PMC 19,5%","PMC 19,5% ALC",PMC 20%,PMC 20% ALC,"PMC 20,5%",PMC 21%,PMC 21% ALC,PMC 22%,PMC 22% ALC,RESTRIÇÃO HOSPITALAR,CAP,CONFAZ 87,ICMS 0%,ANÁLISE RECURSAL,LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS),COMERCIALIZAÇÃO 2022,TARJA,DESTINAÇÃO COMERCIAL 
ABROCITINIBE,61.072.393/0001-33,PFIZER BRASIL LTDA,522723100092602,1211004910021,7891045164559,    -     ,    -     ,CIBINQO,100 MG COM REV CT FR PLAS PEAD OPC X 30,D5X - OUTROS PRODUTOS ANTI-INFLAMATÓRIOS NÃO ESTEROIDAIS DERMATOLÓGICOS,Novo,Regulado,4269.54,4781.88,5525.88,4851.74,5909.10,5144.02,5950.38,5175.19,5992.23,5206.75,6077.73,5271.03,6121.40,5303.77,6165.71,5336.92,6210.67,6256.29,5404.48,6349.57,5473.76,5902.38,6414.72,7381.38,6707.25,7876.38,7111.31,7929.59,7154.40,7983.50,7198.03,8093.58,7286.89,8149.77,7332.15,8206.77,7377.98,8264.56,8323.18,7471.38,8442.96,7567.15,Não,Não,Não,Não,,Negativa,Sim,Tarja Vermelha,Sim
ABROCITINIBE,61.072.393/0001-33,PFIZER BRASIL LTDA,522723100092702,1211004910031,7891045164566,    -     ,    -     ,CIBINQO,200 MG COM REV CT FR PLAS PEAD OPC X 30,D5X - OUTROS PRODUTOS ANTI-INFLAMATÓRIOS NÃO ESTEROIDAIS DERMATOLÓGICOS,Novo,Regulado,6167.38,6907.47,7982.19,7008.39,8535.75,7430.58,8595.37,7475.62,8655.83,7521.20,8779.34,7614.05,8842.43,7661.34,8906.43,7709.23,8971.37,9037.26,7806.82,9172.01,7906.90,8526.05,9266.13,10662.48,9688.69,11377.51,10272.34,11454.35,10334.61,11532.23,10397.62,11691.26,10525.98,11772.44,10591.35,11854.75,10657.56,11938.24,12022.89,10792.47,12195.93,10930.83,Não,Não,Não,Não,,Negativa,Sim,Tarja Vermelha,Sim
ACALABRUTINIBE,60.318.797/0001-00,ASTRAZENECA DO BRASIL LTDA.,502319040034002,1161802690010,5000456031998,    -     ,    -     ,CALQUENCE,100 MG CAP DURA CT BL AL AL X 60,"L1H6 - ANTINEOPLÁSICOS INIBIDORES DA PROTEÍNA QUINASE, BTK",Novo,Regulado,37479.07,41976.56,48507.61,42589.84,51871.61,45155.49,52233.91,45429.17,52601.29,45706.18,53351.87,46270.43,53735.24,46557.84,54124.20,46848.82,54518.82,54919.28,47441.87,55738.11,48050.06,51812.61,56310.06,64795.69,58877.96,69140.94,62424.82,69607.90,62803.16,70081.14,63186.11,71047.54,63966.16,71540.82,64363.48,72041.11,64765.75,72548.40,73062.92,65585.60,74114.41,66426.39,Não,Não,Não,Não,,Negativa,Sim,Tarja Vermelha,Sim
ACARBOSE,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531619040086803,1356900350024,7894916503754,7896004771793,    -     ,AGLUCOSE,50 MG COM CT BL AL AL X 30,A10L - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE,Similar,Regulado,25.64,25.64,29.14,29.14,30.89,30.89,31.08,31.08,31.27,31.27,31.65,31.65,31.85,31.85,32.05,32.05,32.25,32.46,32.46,32.87,32.87,35.45,35.45,40.28,40.28,42.70,42.70,42.97,42.97,43.23,43.23,43.75,43.75,44.03,44.03,44.31,44.31,44.58,44.87,44.87,45.44,45.44,Não,Não,Não,Não,,Positiva,Sim,- (*) ,Sim
ACARBOSE,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531619040086903,1356900350075,7894916503761,7896004771809,    -     ,AGLUCOSE,100 MG COM CT BL AL AL X 30,A10L - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE,Similar,Regulado,38.93,38.93,44.24,44.24,46.90,46.90,47.19,47.19,47.48,47.48,48.06,48.06,48.36,48.36,48.66,48.66,48.97,49.28,49.28,49.91,49.91,53.82,53.82,61.16,61.16,64.84,64.84,65.24,65.24,65.64,65.64,66.44,66.44,66.85,66.85,67.27,67.27,67.70,68.13,68.13,69.00,69.00,Não,Não,Não,Não,,Positiva,Sim,- (*) ,Sim
ACEBROFILINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508017401132117,1004307850011,7891317002688,    -     ,    -     ,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,R5C - EXPECTORANTES,Genérico,Regulado,17.86,17.86,20.30,20.30,21.52,21.52,21.65,21.65,21.78,21.78,22.05,22.05,22.19,22.19,22.33,22.33,22.47,22.61,22.61,22.90,22.90,24.69,24.69,28.06,28.06,29.75,29.75,29.93,29.93,30.11,30.11,30.48,30.48,30.68,30.68,30.87,30.87,31.06,31.26,31.26,31.66,31.66,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha,Sim
ACEBROFILINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508017402139115,1004307850021,7891317002695,    -     ,    -     ,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,R5C - EXPECTORANTES,Genérico,Regulado,25.17,25.17,28.60,28.60,30.33,30.33,30.51,30.51,30.70,30.70,31.07,31.07,31.27,31.27,31.46,31.46,31.66,31.86,31.86,32.27,32.27,34.80,34.80,39.54,39.54,41.93,41.93,42.18,42.18,42.44,42.44,42.95,42.95,43.23,43.23,43.49,43.49,43.77,44.04,44.04,44.61,44.61,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha,Sim
ACEBROFILINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508013120101205,1004310860022,7891317485153,    -     ,    -     ,FILINAR G,5 MG/ML GEL OR CT FR PLAS TRANS X 120ML + COL,R5C - EXPECTORANTES,Novo,Regulado,17.86,17.86,20.30,20.30,21.52,21.52,21.65,21.65,21.78,21.78,22.05,22.05,22.19,22.19,22.33,22.33,22.47,22.61,22.61,22.90,22.90,24.69,24.69,28.06,28.06,29.75,29.75,29.93,29.93,30.11,30.11,30.48,30.48,30.68,30.68,30.87,30.87,31.06,31.26,31.26,31.66,31.66,Não,Não,Não,Não,,Positiva,Sim,- (*) ,Sim
ACEBROFILINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508015902134418,1004311580015,7891317181604,    -     ,    -     ,FILINAR,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,R5C - EXPECTORANTES,Similar,Regulado,18.51,18.51,21.03,21.03,22.30,22.30,22.44,22.44,22.57,22.57,22.85,22.85,22.99,22.99,23.14,23.14,23.28,23.43,23.43,23.73,23.73,25.59,25.59,29.07,29.07,30.83,30.83,31.02,31.02,31.20,31.20,31.59,31.59,31.78,31.78,31.99,31.99,32.18,32.39,32.39,32.81,32.81,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha,Sim
ACEBROFILINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508015901138411,1004311580023,7891317181611,    -     ,    -     ,FILINAR,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,R5C - EXPECTORANTES,Similar,Regulado,25.36,25.36,28.82,28.82,30.55,30.55,30.74,30.74,30.93,30.93,31.31,31.31,31.50,31.50,31.70,31.70,31.90,32.10,32.10,32.51,32.51,35.06,35.06,39.84,39.84,42.23,42.23,42.50,42.50,42.76,42.76,43.28,43.28,43.55,43.55,43.82,43.82,44.10,44.38,44.38,44.94,44.94,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha,Sim
ACEBROFILINA,57.507.378/0003-65,EMS S/A,507728901136116,1023506580010,7896004767703,    -     ,    -     ,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,R5C - EXPECTORANTES,Genérico,Regulado,17.83,17.83,20.26,20.26,21.48,21.48,21.61,21.61,21.74,21.74,22.01,22.01,22.15,22.15,22.29,22.29,22.43,22.57,22.57,22.86,22.86,24.65,24.65,28.01,28.01,29.69,29.69,29.87,29.87,30.05,30.05,30.43,30.43,30.62,30.62,30.81,30.81,31.01,31.20,31.20,31.60,31.60,Não,Não,Não,Não,,Positiva,Não,Tarja Vermelha sob restrição,Sim
ACEBROFILINA,57.507.378/0003-65,EMS S/A,507728902132114,1023506580029,7896004767697,    -     ,    -     ,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,R5C - EXPECTORANTES,Genérico,Regulado,25.17,25.17,28.60,28.60,30.33,30.33,30.51,30.51,30.70,30.70,31.07,31.07,31.27,31.27,31.46,31.46,31.66,31.86,31.86,32.27,32.27,34.80,34.80,39.54,39.54,41.93,41.93,42.18,42.18,42.44,42.44,42.95,42.95,43.23,43.23,43.49,43.49,43.77,44.04,44.04,44.61,44.61,Não,Não,Não,Não,,Positiva,Não,Tarja Vermelha sob restrição,Sim
ACEBROFILINA,57.507.378/0003-65,EMS S/A,541819050109207,1023506580037,7896004710464,    -     ,    -     ,ACEBROFILINA,5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP,R5C - EXPECTORANTES,Genérico,Regulado,17.83,17.83,20.26,20.26,21.48,21.48,21.61,21.61,21.74,21.74,22.01,22.01,22.15,22.15,22.29,22.29,22.43,22.57,22.57,22.86,22.86,24.65,24.65,28.01,28.01,29.69,29.69,29.87,29.87,30.05,30.05,30.43,30.43,30.62,30.62,30.81,30.81,31.01,31.20,31.20,31.60,31.60,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha sob restrição,Sim
ACEBROFILINA,57.507.378/0003-65,EMS S/A,541819050109307,1023506580045,7896004710471,    -     ,    -     ,ACEBROFILINA,10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP,R5C - EXPECTORANTES,Genérico,Regulado,25.17,25.17,28.60,28.60,30.33,30.33,30.51,30.51,30.70,30.70,31.07,31.07,31.27,31.27,31.46,31.46,31.66,31.86,31.86,32.27,32.27,34.80,34.80,39.54,39.54,41.93,41.93,42.18,42.18,42.44,42.44,42.95,42.95,43.23,43.23,43.49,43.49,43.77,44.04,44.04,44.61,44.61,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha sob restrição,Sim
ACEBROFILINA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520715080095006,1037004620253,7896112191537,    -     ,    -     ,ACEBROFILINA,10 MG/ML XPE CT FR PET AMB X 120 ML + COP,R5C - EXPECTORANTES,Genérico,Regulado,24.91,24.91,28.31,28.31,30.01,30.01,30.19,30.19,30.38,30.38,30.75,30.75,30.94,30.94,31.14,31.14,31.33,31.53,31.53,31.94,31.94,34.44,34.44,39.14,39.14,41.49,41.49,41.74,41.74,42.00,42.00,42.51,42.51,42.77,42.77,43.05,43.05,43.31,43.59,43.59,44.16,44.16,Não,Não,Não,Não,(2),Positiva,Sim,Tarja Vermelha,Sim
ACEBROFILINA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520715080094906,1037004620296,7896112191490,    -     ,    -     ,ACEBROFILINA,5MG/ML XPE CT FR PET AMB X 120ML + COP,R5C - EXPECTORANTES,Genérico,Regulado,17.86,17.86,20.30,20.30,21.52,21.52,21.65,21.65,21.78,21.78,22.05,22.05,22.19,22.19,22.33,22.33,22.47,22.61,22.61,22.90,22.90,24.69,24.69,28.06,28.06,29.75,29.75,29.93,29.93,30.11,30.11,30.48,30.48,30.68,30.68,30.87,30.87,31.06,31.26,31.26,31.66,31.66,Não,Não,Não,Não,(2),Positiva,Sim,Tarja Vermelha,Sim
ACEBROFILINA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520733801133414,1037005630031,7896112159254,    -     ,    -     ,DILABRONCO,10MG/ML XPE CT FR PLAS OPC X 120ML + COP,R5C - EXPECTORANTES,Similar,Regulado,23.72,23.72,26.95,26.95,28.58,28.58,28.75,28.75,28.93,28.93,29.28,29.28,29.47,29.47,29.65,29.65,29.84,30.03,30.03,30.41,30.41,32.79,32.79,37.26,37.26,39.51,39.51,39.75,39.75,39.99,39.99,40.48,40.48,40.74,40.74,40.99,40.99,41.25,41.51,41.51,42.04,42.04,Não,Não,Não,Não,,Positiva,Não,Tarja Vermelha,Não
ACEBROFILINA,83.874.628/0001-43,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,517120090013307,1038501090013,7898109241287,    -     ,    -     ,LISOMUC,5 MG / ML XPE  CT FR VD AMB X 100 ML + COP,R5C - EXPECTORANTES,Similar,Regulado,17.76,17.76,20.18,20.18,21.40,21.40,21.53,21.53,21.66,21.66,21.93,21.93,22.06,22.06,22.20,22.20,22.34,22.48,22.48,22.77,22.77,24.55,24.55,27.90,27.90,29.58,29.58,29.76,29.76,29.94,29.94,30.32,30.32,30.50,30.50,30.69,30.69,30.88,31.08,31.08,31.48,31.48,Não,Não,Não,Não,,Positiva,Não,- (*) ,Sim
