SUBSTÂNCIA,CNPJ,LABORATÓRIO,CÓDIGO GGREM,REGISTRO,EAN 1,EAN 2,EAN 3,PRODUTO,APRESENTAÇÃO,CLASSE TERAPÊUTICA,TIPO DE PRODUTO (STATUS DO PRODUTO),REGIME DE PREÇO,PF Sem Impostos,PF 0%,PF 12%,PF 12% ALC,PF 17%,PF 17% ALC,"PF 17,5%","PF 17,5% ALC",PF 18%,PF 18% ALC,PF 19%,PF 19% ALC,"PF 19,5%","PF 19,5% ALC",PF 20%,PF 20% ALC,"PF 20,5%",PF 21%,PF 21% ALC,PF 22%,PF 22% ALC,PMC Sem Imposto,PMC 0%,PMC 12%,PMC 12% ALC,PMC 17%,PMC 17% ALC,"PMC 17,5%","PMC 17,5% ALC",PMC 18%,PMC 18% ALC,PMC 19%,PMC 19% ALC,"PMC 19,5%","PMC 19,5% ALC",PMC 20%,PMC 20% ALC,"PMC 20,5%",PMC 21%,PMC 21% ALC,PMC 22%,PMC 22% ALC,RESTRIÇÃO HOSPITALAR,CAP,CONFAZ 87,ICMS 0%,ANÁLISE RECURSAL,LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS),COMERCIALIZAÇÃO 2022,TARJA,DESTINAÇÃO COMERCIAL 
CARVEDILOL,05.044.984/0001-26,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,538812090044803,1677304800068,7896004732466,    -     ,    -     ,CARVEGRAN,"6,25 MG COM CT BL AL AL X 15",C7A0 - BETABLOQUEADORES PUROS,Similar,Regulado,35.99,35.99,40.90,40.90,43.36,43.36,43.62,43.62,43.89,43.89,44.43,44.43,44.71,44.71,44.99,44.99,45.27,45.56,45.56,46.14,46.14,49.75,49.75,56.54,56.54,59.94,59.94,60.30,60.30,60.68,60.68,61.42,61.42,61.81,61.81,62.20,62.20,62.58,62.98,62.98,63.79,63.79,Não,Não,Não,Não,,Positiva,Não,- (*) ,Sim
CARVEDILOL,05.044.984/0001-26,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,538812090044903,1677304800076,7896004732473,    -     ,    -     ,CARVEGRAN,"6,25 MG COM CT BL AL AL X 30",C7A0 - BETABLOQUEADORES PUROS,Similar,Regulado,71.98,71.98,81.80,81.80,86.72,86.72,87.25,87.25,87.78,87.78,88.86,88.86,89.42,89.42,89.98,89.98,90.54,91.11,91.11,92.28,92.28,99.51,99.51,113.08,113.08,119.89,119.89,120.62,120.62,121.35,121.35,122.84,122.84,123.62,123.62,124.39,124.39,125.17,125.95,125.95,127.57,127.57,Não,Não,Não,Não,,Positiva,Sim,- (*) ,Sim
CARVEDILOL,05.044.984/0001-26,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,538812090045003,1677304800122,7896004732497,    -     ,    -     ,CARVEGRAN,"12,5 MG COM CT BL AL AL X 30",C7A0 - BETABLOQUEADORES PUROS,Similar,Regulado,80.15,80.15,91.08,91.08,96.57,96.57,97.15,97.15,97.74,97.74,98.95,98.95,99.57,99.57,100.19,100.19,100.82,101.46,101.46,102.76,102.76,110.80,110.80,125.91,125.91,133.50,133.50,134.30,134.30,135.12,135.12,136.79,136.79,137.65,137.65,138.51,138.51,139.38,140.26,140.26,142.06,142.06,Não,Não,Não,Não,,Positiva,Sim,- (*) ,Sim
CARVEDILOL,05.044.984/0001-26,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,538812090045103,1677304800173,7896004732510,    -     ,    -     ,CARVEGRAN,25 MG COM CT BL AL AL X 30,C7A0 - BETABLOQUEADORES PUROS,Similar,Regulado,89.86,89.86,102.11,102.11,108.27,108.27,108.92,108.92,109.59,109.59,110.94,110.94,111.63,111.63,112.33,112.33,113.03,113.75,113.75,115.21,115.21,124.23,124.23,141.16,141.16,149.68,149.68,150.58,150.58,151.50,151.50,153.37,153.37,154.32,154.32,155.29,155.29,156.26,157.25,157.25,159.27,159.27,Não,Não,Não,Não,,Positiva,Sim,- (*) ,Sim
CARVEDILOL,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,525071507113113,1832601260028,7896422519342,    -     ,    -     ,CARVEDILOL,"6,25 MG COM CT BL AL/AL X 30",C7A0 - BETABLOQUEADORES PUROS,Genérico,Regulado,24.62,24.62,27.98,27.98,29.66,29.66,29.84,29.84,30.02,30.02,30.40,30.40,30.58,30.58,30.78,30.78,30.97,31.16,31.16,31.56,31.56,34.04,34.04,38.68,38.68,41.00,41.00,41.25,41.25,41.50,41.50,42.03,42.03,42.28,42.28,42.55,42.55,42.81,43.08,43.08,43.63,43.63,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha,Sim
CARVEDILOL,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,525071503118110,1832601260044,7896422519373,    -     ,    -     ,CARVEDILOL,"12,5 MG COM CT BL AL/AL X 30",C7A0 - BETABLOQUEADORES PUROS,Genérico,Regulado,28.53,28.53,32.42,32.42,34.37,34.37,34.58,34.58,34.79,34.79,35.22,35.22,35.44,35.44,35.66,35.66,35.89,36.11,36.11,36.58,36.58,39.44,39.44,44.82,44.82,47.51,47.51,47.80,47.80,48.10,48.10,48.69,48.69,48.99,48.99,49.30,49.30,49.62,49.92,49.92,50.57,50.57,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha,Sim
CARVEDILOL,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,525071504114119,1832601260060,7896422519403,    -     ,    -     ,CARVEDILOL,25 MG COM CT BL AL/AL X 30,C7A0 - BETABLOQUEADORES PUROS,Genérico,Regulado,47.91,47.91,54.44,54.44,57.72,57.72,58.07,58.07,58.43,58.43,59.15,59.15,59.52,59.52,59.89,59.89,60.26,60.65,60.65,61.42,61.42,66.23,66.23,75.26,75.26,79.79,79.79,80.28,80.28,80.78,80.78,81.77,81.77,82.28,82.28,82.79,82.79,83.31,83.85,83.85,84.91,84.91,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha,Sim
CARVÃO VEGETAL ATIVADO,60.665.981/0001-18,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,533020030069407,1049713720016,7896006201014,    -     ,    -     ,CARVEROL,250MG COM CT BL AL PLAS PVC TRANS X 20,A2C0 - OUTRAS PREPARAÇÕES PARA PROBLEMAS ESTOMACAIS,Específico,Liberado,19.51,21.85,25.25,22.17,27.00,23.50,27.19,23.65,27.38,23.79,27.77,24.09,27.97,24.23,28.17,24.39,28.38,28.59,24.69,29.01,25.01,26.97,29.31,33.73,30.65,35.99,32.49,36.23,32.69,36.48,32.89,36.98,33.30,37.24,33.50,37.50,33.72,37.77,38.04,34.13,38.57,34.57,Não,Não,Não,Não,,Negativa,Sim,Tarja Sem Tarja,Sim
"CASSIA ANGUSTIFOLIA, VAHL",02.456.955/0001-83,NATULAB LABORATORIO S.A,540419120011707,1384100420023,7898133136382,    -     ,    -     ,NATULAXE,34 MG CAP DURA CT BL AL PLAS TRANS X 20,A6A2 - LAXANTES ESTIMULANTES,Fitoterápico,Liberado,32.79,36.72,42.43,37.26,45.38,39.50,45.69,39.74,46.01,39.98,46.67,40.48,47.01,40.73,47.35,40.98,47.69,48.04,41.50,48.76,42.03,45.32,49.26,56.68,51.51,60.49,54.61,60.89,54.94,61.30,55.27,62.15,55.96,62.59,56.31,63.02,56.65,63.46,63.91,57.37,64.84,58.10,Não,Não,Não,Não,,Negativa,Sim,- (*) ,Sim
CASSIA FISTULA L.;SENNA ALEXANDRINA MILL.,05.161.069/0001-10,BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A.,504623020091617,1558406440017,7896714292151,    -     ,    -     ,NATURETTI,"(5,778 + 3,9) MG/G GEL OR CX FR VD TRANS X 130 G",A6A2 - LAXANTES ESTIMULANTES,Fitoterápico,Liberado,44.57,49.92,57.69,50.65,61.69,53.70,62.12,54.03,62.56,54.36,63.45,55.03,63.90,55.37,64.37,55.71,64.84,65.31,56.42,66.29,57.14,61.62,66.97,77.06,70.02,82.23,74.24,82.78,74.69,83.35,75.15,84.50,76.08,85.07,76.55,85.68,77.02,86.28,86.89,78.00,88.15,78.99,Não,Não,Não,Não,,Negativa,Sim,Tarja Sem Tarja,Sim
CASSIA FISTULA L.;SENNA ALEXANDRINA MILL.,05.161.069/0001-10,BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A.,504623020091717,1558406440051,7896714292168,    -     ,    -     ,NATURETTI,"(28,889 + 19,5) MG CAP DURA CT BL AL PLAS PVC/ACLAR TRANS X 16",A6A2 - LAXANTES ESTIMULANTES,Fitoterápico,Liberado,35.62,39.89,46.10,40.47,49.29,42.91,49.64,43.17,49.99,43.43,50.70,43.97,51.06,44.24,51.43,44.52,51.81,52.19,45.08,52.97,45.66,49.24,53.51,61.58,55.95,65.70,59.32,66.15,59.68,66.60,60.04,67.52,60.79,67.98,61.16,68.46,61.55,68.94,69.43,62.32,70.43,63.12,Não,Não,Não,Não,,Negativa,Sim,Tarja Sem Tarja,Sim
CASSIA SENNA L.,49.475.833/0001-06,BIOLAB SANUS FARMACEUTICA LTDA,504120050068107,1097401300178,7896112466925,    -     ,    -     ,LAXETTE,"55,6 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 10",A6A2 - LAXANTES ESTIMULANTES,Fitoterápico,Liberado,28.02,31.38,36.26,31.84,38.78,33.76,39.05,33.96,39.32,34.17,39.88,34.59,40.17,34.80,40.46,35.02,40.76,41.06,35.47,41.67,35.92,38.73,42.10,48.44,44.02,51.69,46.67,52.04,46.95,52.39,47.24,53.11,47.82,53.48,48.11,53.85,48.41,54.24,54.62,49.04,55.41,49.66,Não,Não,Não,Não,,Negativa,Não,Tarja Sem Tarja,Sim
CEFACLOR,57.507.378/0003-65,EMS S/A,541820070134107,1023513120011,7896004704968,    -     ,    -     ,CEFACLOR,50 MG/ML SUS OR CT FR VD AMB X 80 ML + SER  DOS,J1D1 - CEFALOSPORINAS ORAIS,Genérico,Regulado,63.34,63.34,71.98,71.98,76.31,76.31,76.78,76.78,77.24,77.24,78.20,78.20,78.68,78.68,79.18,79.18,79.67,80.18,80.18,81.21,81.21,87.56,87.56,99.51,99.51,105.49,105.49,106.14,106.14,106.78,106.78,108.11,108.11,108.77,108.77,109.46,109.46,110.14,110.84,110.84,112.27,112.27,Não,Não,Não,Não,,Positiva,Não,Tarja Vermelha sob restrição,Sim
CEFACLOR,57.507.378/0003-65,EMS S/A,541821060160606,1023513120021,7896004719092,    -     ,    -     ,CEFACLOR,50 MG/ML SUS OR CT FR VD AMB X 100 ML + SER DOS,J1D1 - CEFALOSPORINAS ORAIS,Genérico,Regulado,46.46,46.46,52.80,52.80,55.98,55.98,56.32,56.32,56.66,56.66,57.36,57.36,57.71,57.71,58.08,58.08,58.44,58.81,58.81,59.56,59.56,64.23,64.23,72.99,72.99,77.39,77.39,77.86,77.86,78.33,78.33,79.30,79.30,79.78,79.78,80.29,80.29,80.79,81.30,81.30,82.34,82.34,Não,Não,Não,Não,,Positiva,Não,Tarja Vermelha sob restrição,Sim
CEFACLOR,57.507.378/0003-65,EMS S/A,541820070134207,1023513120038,7896004704975,    -     ,    -     ,CEFACLOR,75 MG/ML SUS OR CT FR VD AMB X 80 ML + SER DOS,J1D1 - CEFALOSPORINAS ORAIS,Genérico,Regulado,86.09,86.09,97.83,97.83,103.72,103.72,104.35,104.35,104.99,104.99,106.28,106.28,106.94,106.94,107.61,107.61,108.29,108.97,108.97,110.37,110.37,119.01,119.01,135.24,135.24,143.39,143.39,144.26,144.26,145.14,145.14,146.93,146.93,147.84,147.84,148.76,148.76,149.70,150.64,150.64,152.58,152.58,Não,Não,Não,Não,,Positiva,Não,Tarja Vermelha sob restrição,Sim
CEFACLOR,57.507.378/0003-65,EMS S/A,541821060160706,1023513120046,7896004719108,    -     ,    -     ,CEFACLOR,75 MG/ML SUS OR CT FR VD AMB X 100 ML + SER DOS,J1D1 - CEFALOSPORINAS ORAIS,Genérico,Regulado,63.12,63.12,71.73,71.73,76.05,76.05,76.51,76.51,76.98,76.98,77.93,77.93,78.41,78.41,78.90,78.90,79.40,79.90,79.90,80.92,80.92,87.26,87.26,99.16,99.16,105.13,105.13,105.77,105.77,106.42,106.42,107.73,107.73,108.40,108.40,109.07,109.07,109.77,110.46,110.46,111.87,111.87,Não,Não,Não,Não,,Positiva,Não,Tarja Vermelha sob restrição,Sim
CEFACLOR,45.992.062/0001-65,GERMED FARMACEUTICA LTDA,526125701131111,1058305040021,7896004719085,    -     ,    -     ,CEFACLOR,50 MG/ML SUS OR CT FR VD AMB X 100 ML + SER DOS,J1D1 - CEFALOSPORINAS ORAIS,Genérico,Regulado,58.05,58.05,65.97,65.97,69.94,69.94,70.36,70.36,70.79,70.79,71.67,71.67,72.11,72.11,72.56,72.56,73.02,73.48,73.48,74.42,74.42,80.25,80.25,91.20,91.20,96.69,96.69,97.27,97.27,97.86,97.86,99.08,99.08,99.69,99.69,100.31,100.31,100.95,101.58,101.58,102.88,102.88,Não,Não,Não,Não,,Positiva,Não,- (*) ,Sim
CEFACLOR,45.992.062/0001-65,GERMED FARMACEUTICA LTDA,526125702138111,1058305040046,7896004719078,    -     ,    -     ,CEFACLOR,75 MG/ML SUS OR CT FR VD AMB X 100 ML + SER DOS,J1D1 - CEFALOSPORINAS ORAIS,Genérico,Regulado,78.89,78.89,89.65,89.65,95.05,95.05,95.62,95.62,96.21,96.21,97.40,97.40,98.00,98.00,98.61,98.61,99.23,99.86,99.86,101.14,101.14,109.06,109.06,123.94,123.94,131.40,131.40,132.19,132.19,133.00,133.00,134.65,134.65,135.48,135.48,136.32,136.32,137.18,138.05,138.05,139.82,139.82,Não,Não,Não,Não,,Positiva,Não,- (*) ,Sim
CEFACLOR,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531600707131419,1356900330104,7894916505130,    -     ,    -     ,CECLOR,50 MG/ML SUS OR CT FR VD AMB X 100 ML + SER DOS,J1D1 - CEFALOSPORINAS ORAIS,Similar,Regulado,71.48,71.48,81.23,81.23,86.12,86.12,86.64,86.64,87.17,87.17,88.25,88.25,88.80,88.80,89.35,89.35,89.91,90.48,90.48,91.64,91.64,98.82,98.82,112.30,112.30,119.06,119.06,119.77,119.77,120.51,120.51,122.00,122.00,122.76,122.76,123.52,123.52,124.30,125.08,125.08,126.69,126.69,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha sob restrição,Sim
CEFACLOR,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531600706135410,1356900330171,7894916505147,    -     ,    -     ,CECLOR,75 MG/ML SUS OR CT FR VD AMB X 100 ML + SER DOS,J1D1 - CEFALOSPORINAS ORAIS,Similar,Regulado,97.10,97.10,110.34,110.34,116.99,116.99,117.70,117.70,118.41,118.41,119.88,119.88,120.62,120.62,121.38,121.38,122.14,122.91,122.91,124.49,124.49,134.24,134.24,152.54,152.54,161.73,161.73,162.71,162.71,163.69,163.69,165.73,165.73,166.75,166.75,167.80,167.80,168.85,169.92,169.92,172.10,172.10,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha sob restrição,Sim
CEFACLOR MONOIDRATADO,57.507.378/0003-65,EMS S/A,507704304111116,1023505400027,7896004704890,    -     ,    -     ,CEFACLOR,500 MG CAP DURA CT BL AL PLAS TRANS X 10 ,J1D1 - CEFALOSPORINAS ORAIS,Genérico,Regulado,80.86,80.86,91.89,91.89,97.42,97.42,98.01,98.01,98.61,98.61,99.83,99.83,100.45,100.45,101.08,101.08,101.71,102.35,102.35,103.67,103.67,111.78,111.78,127.03,127.03,134.68,134.68,135.49,135.49,136.32,136.32,138.01,138.01,138.87,138.87,139.74,139.74,140.61,141.49,141.49,143.32,143.32,Não,Não,Não,Não,,Positiva,Não,Tarja Vermelha,Sim
CEFACLOR MONOIDRATADO,45.992.062/0001-65,GERMED FARMACEUTICA LTDA,526120302115111,1058308940013,7896004710167,    -     ,    -     ,CEFACLOR,500 MG CAP DURA CT BL AL PLAS TRANS X 10 ,J1D1 - CEFALOSPORINAS ORAIS,Genérico,Regulado,62.60,62.60,71.14,71.14,75.42,75.42,75.88,75.88,76.34,76.34,77.28,77.28,77.76,77.76,78.25,78.25,78.74,79.24,79.24,80.26,80.26,86.54,86.54,98.35,98.35,104.26,104.26,104.90,104.90,105.54,105.54,106.84,106.84,107.50,107.50,108.18,108.18,108.85,109.54,109.54,110.95,110.95,Não,Não,Não,Não,,Positiva,Não,Tarja Vermelha,Sim
CEFACLOR MONOIDRATADO,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531600804110412,1356900330325,7894916505673,    -     ,    -     ,CECLOR,500 MG COM REV LIB PROL CT BL AL PVDC X 10,J1D1 - CEFALOSPORINAS ORAIS,Similar,Regulado,62.51,62.51,71.03,71.03,75.31,75.31,75.77,75.77,76.23,76.23,77.17,77.17,77.65,77.65,78.14,78.14,78.63,79.13,79.13,80.14,80.14,86.42,86.42,98.19,98.19,104.11,104.11,104.75,104.75,105.38,105.38,106.68,106.68,107.35,107.35,108.02,108.02,108.70,109.39,109.39,110.79,110.79,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha sob restrição,Sim
CEFACLOR MONOIDRATADO,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531600803114317,1356900330368,7894916503914,    -     ,    -     ,CECLOR,750 MG COM REV LIB PROL CT  BL AL PVDC X 14,J1D1 - CEFALOSPORINAS ORAIS,Similar,Regulado,131.38,131.38,149.30,149.30,158.29,158.29,159.25,159.25,160.22,160.22,162.20,162.20,163.20,163.20,164.23,164.23,165.26,166.30,166.30,168.44,168.44,181.63,181.63,206.40,206.40,218.83,218.83,220.15,220.15,221.49,221.49,224.23,224.23,225.61,225.61,227.04,227.04,228.46,229.90,229.90,232.86,232.86,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha sob restrição,Sim
CEFADROXILA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508001501116117,1004307330018,7891317001438,    -     ,    -     ,CEFADROXILA,500 MG CAP DURA CT ENV AL PLAS X 8  ,J1D1 - CEFALOSPORINAS ORAIS,Genérico,Regulado,38.31,38.31,43.53,43.53,46.16,46.16,46.44,46.44,46.72,46.72,47.30,47.30,47.59,47.59,47.89,47.89,48.19,48.49,48.49,49.12,49.12,52.96,52.96,60.18,60.18,63.81,63.81,64.20,64.20,64.59,64.59,65.39,65.39,65.79,65.79,66.21,66.21,66.62,67.03,67.03,67.91,67.91,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha sob restrição,Sim
CEFADROXILA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508023120175606,1004307330077,7891317018221,    -     ,    -     ,CEFADROXILA,500 MG CAP DURA CT BL AL AL X 8,J1D1 - CEFALOSPORINAS ORAIS,Genérico,Regulado,38.31,38.31,43.53,43.53,46.16,46.16,46.44,46.44,46.72,46.72,47.30,47.30,47.59,47.59,47.89,47.89,48.19,48.49,48.49,49.12,49.12,52.96,52.96,60.18,60.18,63.81,63.81,64.20,64.20,64.59,64.59,65.39,65.39,65.79,65.79,66.21,66.21,66.62,67.03,67.03,67.91,67.91,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha sob restrição,Sim
CEFADROXILA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508001502139110,1004308140018,7891317001421,    -     ,    -     ,CEFADROXILA,50 MG/ML PO SUS OR CT FR VD AMB X 100 ML + SER DOS,J1D1 - CEFALOSPORINAS ORAIS,Genérico,Regulado,51.45,51.45,58.47,58.47,61.99,61.99,62.36,62.36,62.74,62.74,63.52,63.52,63.91,63.91,64.31,64.31,64.72,65.13,65.13,65.96,65.96,71.13,71.13,80.83,80.83,85.70,85.70,86.21,86.21,86.73,86.73,87.81,87.81,88.35,88.35,88.90,88.90,89.47,90.04,90.04,91.19,91.19,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha sob restrição,Sim
CEFADROXILA,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511512903112111,1004704500025,7897595604927,    -     ,    -     ,CEFADROXILA,500 MG CAP DURA CT BL AL PLAS TRANS X 08 ,J1D1 - CEFALOSPORINAS ORAIS,Genérico,Regulado,30.40,30.40,34.55,34.55,36.63,36.63,36.85,36.85,37.07,37.07,37.53,37.53,37.76,37.76,38.00,38.00,38.24,38.48,38.48,38.97,38.97,42.03,42.03,47.76,47.76,50.64,50.64,50.94,50.94,51.25,51.25,51.88,51.88,52.20,52.20,52.53,52.53,52.86,53.20,53.20,53.87,53.87,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha sob restrição,Sim
CEFADROXILA,57.507.378/0003-65,EMS S/A,507704401117115,1023505110037,7896004703275,    -     ,    -     ,CEFADROXILA,500 MG CAP DURA CT BL AL PLAS TRANS X 8 ,J1D1 - CEFALOSPORINAS ORAIS,Genérico,Regulado,40.37,40.37,45.88,45.88,48.64,48.64,48.93,48.93,49.23,49.23,49.84,49.84,50.15,50.15,50.46,50.46,50.78,51.10,51.10,51.76,51.76,55.81,55.81,63.43,63.43,67.24,67.24,67.64,67.64,68.06,68.06,68.90,68.90,69.33,69.33,69.76,69.76,70.20,70.64,70.64,71.56,71.56,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha sob restrição,Sim
CEFADROXILA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520730901110111,1037005370048,7896112130192,    -     ,    -     ,CEFADROXILA,500 MG CAP GEL DURA CT BL AL PVDC TRANS X 8,J1D1 - CEFALOSPORINAS ORAIS,Genérico,Regulado,51.19,51.19,58.17,58.17,61.67,61.67,62.05,62.05,62.43,62.43,63.20,63.20,63.59,63.59,63.99,63.99,64.39,64.80,64.80,65.63,65.63,70.77,70.77,80.42,80.42,85.26,85.26,85.78,85.78,86.31,86.31,87.37,87.37,87.91,87.91,88.46,88.46,89.02,89.58,89.58,90.73,90.73,Não,Não,Não,Não,,Positiva,Sim,- (*) ,Sim
CEFADROXILA,05.044.984/0001-26,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,538818401116416,1677305250010,7896004718309,    -     ,    -     ,CEDROXIL,500 MG CAP DURA CT BL AL PLAS TRANS X 8,J1D1 - CEFALOSPORINAS ORAIS,Similar,Regulado,43.24,43.24,49.14,49.14,52.10,52.10,52.41,52.41,52.73,52.73,53.38,53.38,53.71,53.71,54.05,54.05,54.39,54.73,54.73,55.44,55.44,59.78,59.78,67.93,67.93,72.03,72.03,72.45,72.45,72.90,72.90,73.79,73.79,74.25,74.25,74.72,74.72,75.19,75.66,75.66,76.64,76.64,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha sob restrição,Sim
CEFALEXINA,57.507.378/0003-65,EMS S/A,541821070163406,1023513700018,7896004779577,    -     ,    -     ,CEFALEXINA,500 MG CAP DURA CT BL AL PLAS TRANS X 10,J1D1 - CEFALOSPORINAS ORAIS,Genérico,Regulado,22.12,22.12,25.14,25.14,26.65,26.65,26.81,26.81,26.98,26.98,27.31,27.31,27.48,27.48,27.65,27.65,27.82,28.00,28.00,28.36,28.36,30.58,30.58,34.75,34.75,36.84,36.84,37.06,37.06,37.30,37.30,37.75,37.75,37.99,37.99,38.22,38.22,38.46,38.71,38.71,39.21,39.21,Não,Não,Não,Não,,Positiva,Não,Tarja Vermelha sob restrição,Sim
CEFALEXINA,57.507.378/0003-65,EMS S/A,541821070163506,1023513700042,7896004779584,    -     ,    -     ,CEFALEXINA,500 MG CAP DURA CT BL AL PLAS TRANS X 8,J1D1 - CEFALOSPORINAS ORAIS,Genérico,Regulado,17.71,17.71,20.13,20.13,21.34,21.34,21.47,21.47,21.60,21.60,21.86,21.86,22.00,22.00,22.14,22.14,22.28,22.42,22.42,22.71,22.71,24.48,24.48,27.83,27.83,29.50,29.50,29.68,29.68,29.86,29.86,30.22,30.22,30.41,30.41,30.61,30.61,30.80,30.99,30.99,31.40,31.40,Não,Não,Não,Não,,Positiva,Não,Tarja Vermelha sob restrição,Sim
CEFALEXINA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520713010086406,1037003820062,7896112132257,    -     ,    -     ,CEFALEXINA,500 MG COM CT BL AL PLAS TRANS X 500,J1D1 - CEFALOSPORINAS ORAIS,Genérico,Regulado,950.42,950.42,1080.02,1080.02,1145.08,1145.08,1152.02,1152.02,1159.05,1159.05,1173.36,1173.36,1180.65,1180.65,1188.03,1188.03,1195.50,1203.06,1203.06,1218.49,1218.49,,,,,,,,,,,,,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha sob restrição,Não
CEFALEXINA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520705006138112,1037005090029,7896112128861,    -     ,    -     ,CEFALEXINA,50 MG/ML PÓ P/ SUS OR CT FR VD AMB X 100 ML + COP,J1D1 - CEFALOSPORINAS ORAIS,Genérico,Regulado,32.56,32.56,37.00,37.00,39.23,39.23,39.47,39.47,39.71,39.71,40.20,40.20,40.45,40.45,40.70,40.70,40.96,41.22,41.22,41.74,41.74,45.01,45.01,51.15,51.15,54.23,54.23,54.56,54.56,54.90,54.90,55.57,55.57,55.92,55.92,56.27,56.27,56.62,56.98,56.98,57.70,57.70,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha sob restrição,Sim
CEFALEXINA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520705005131114,1037005090045,7896112128885,    -     ,    -     ,CEFALEXINA,50 MG/ML PÓ P/ SUS OR CX 50 FR VD AMB X 60 ML + 50 COP,J1D1 - CEFALOSPORINAS ORAIS,Genérico,Regulado,1670.61,1670.61,1898.42,1898.42,2012.78,2012.78,2024.98,2024.98,2037.33,2037.33,2062.48,2062.48,2075.29,2075.29,2088.26,2088.26,2101.40,2114.70,2114.70,2141.81,2141.81,,,,,,,,,,,,,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha sob restrição,Não
CEFALEXINA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520722100115703,1037007700071,7896112107064,    -     ,    -     ,LEXIN,500 MG COM CT BL AL PLAS TRANS X 10,J1D1 - CEFALOSPORINAS ORAIS,Similar,Regulado,18.59,18.59,21.13,21.13,22.40,22.40,22.53,22.53,22.67,22.67,22.95,22.95,23.09,23.09,23.24,23.24,23.38,23.53,23.53,23.83,23.83,25.70,25.70,29.21,29.21,30.97,30.97,31.15,31.15,31.34,31.34,31.73,31.73,31.92,31.92,32.13,32.13,32.32,32.53,32.53,32.94,32.94,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha sob restrição,Sim
CEFALEXINA,92.265.552/0009-05,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA,525920060054807,1181901920027,7896472512713,    -     ,    -     ,CEFALEXINA MONOIDRATADA,50 MG/ML SUS OR CT FR VD AMB X 100 ML + COP,J1D1 - CEFALOSPORINAS ORAIS,Genérico,Regulado,23.66,23.66,26.89,26.89,28.51,28.51,28.68,28.68,28.85,28.85,29.21,29.21,29.39,29.39,29.58,29.58,29.76,29.95,29.95,30.33,30.33,32.71,32.71,37.17,37.17,39.41,39.41,39.65,39.65,39.88,39.88,40.38,40.38,40.63,40.63,40.89,40.89,41.14,41.40,41.40,41.93,41.93,Não,Não,Não,Não,,Positiva,Não,Tarja Vermelha sob restrição,Sim
